yourlist:M201501042EL1V9A9QJ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
NP_001092103,Q96B36,AKTS1_HUMAN,reviewed,Proline-rich AKT1 substrate 1 (40 kDa proline-rich AKT substrate),AKT1S1 PRAS40,Homo sapiens (Human),256
NP_055792,Q9UKV3,ACINU_HUMAN,reviewed,Apoptotic chromatin condensation inducer in the nucleus (Acinus),ACIN1 ACINUS KIAA0670,Homo sapiens (Human),1341
NP_057441,Q9UHB6,LIMA1_HUMAN,reviewed,LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm),LIMA1 EPLIN SREBP3 PP624,Homo sapiens (Human),759
NP_055271,Q53EL6,PDCD4_HUMAN,reviewed,Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a),PDCD4 H731,Homo sapiens (Human),469
NP_115765,Q8N6H7,ARFG2_HUMAN,reviewed,ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289),ARFGAP2 ZNF289 Nbla10535,Homo sapiens (Human),521
NP_004087,Q13542,4EBP2_HUMAN,reviewed,Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2),EIF4EBP2,Homo sapiens (Human),120
NP_056340,Q9P2D0,IBTK_HUMAN,reviewed,Inhibitor of Bruton tyrosine kinase (IBtk),IBTK BTKI KIAA1417,Homo sapiens (Human),1353
NP_036442,O95239,KIF4A_HUMAN,reviewed,Chromosome-associated kinesin KIF4A (Chromokinesin-A),KIF4A KIF4,Homo sapiens (Human),1232
NP_036442,Q59HG1,Q59HG1_HUMAN,unreviewed,Chromosome-associated kinesin KIF4A variant (Fragment),,Homo sapiens (Human),1235
NP_115648,Q9H063,MAF1_HUMAN,reviewed,Repressor of RNA polymerase III transcription MAF1 homolog,MAF1,Homo sapiens (Human),256
NP_002511,P06748,NPM_HUMAN,reviewed,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),NPM1 NPM,Homo sapiens (Human),294
NP_003152,P23443,KS6B1_HUMAN,reviewed,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),RPS6KB1 STK14A,Homo sapiens (Human),525
NP_037434,O00418,EF2K_HUMAN,reviewed,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase),EEF2K,Homo sapiens (Human),725
NP_055885,A0PJJ2,A0PJJ2_HUMAN,unreviewed,ZC3H13 protein (Fragment),ZC3H13,Homo sapiens (Human),469
NP_055885,Q5T200,ZC3HD_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 13,ZC3H13 KIAA0853,Homo sapiens (Human),1668
NP_056130,Q6PKG0,LARP1_HUMAN,reviewed,La-related protein 1 (La ribonucleoprotein domain family member 1),LARP1 KIAA0731 LARP,Homo sapiens (Human),1096
NP_003267,P42166,LAP2A_HUMAN,reviewed,"Lamina-associated polypeptide 2, isoform alpha (Thymopoietin isoform alpha) (TP alpha) (Thymopoietin-related peptide isoform alpha) (TPRP isoform alpha) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]",TMPO LAP2,Homo sapiens (Human),694
NP_055192,Q99543,DNJC2_HUMAN,reviewed,"DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]",DNAJC2 MPHOSPH11 MPP11 ZRF1,Homo sapiens (Human),621
NP_005964,Q92733,PRCC_HUMAN,reviewed,Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein),PRCC TPRC,Homo sapiens (Human),491
NP_005964,Q96FT4,Q96FT4_HUMAN,unreviewed,Papillary renal cell carcinoma (Translocation-associated),PRCC,Homo sapiens (Human),491
NP_005753,Q13263,TIF1B_HUMAN,reviewed,Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 6.3.2.-) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (Tripartite motif-containing protein 28),TRIM28 KAP1 RNF96 TIF1B,Homo sapiens (Human),835
NP_006101,O95400,CD2B2_HUMAN,reviewed,CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2) (U5 snRNP 52K protein) (U5-52K),CD2BP2 KIAA1178,Homo sapiens (Human),341
NP_055675,O94864,ST65G_HUMAN,reviewed,STAGA complex 65 subunit gamma (Adenocarcinoma antigen ART1) (SPTF-associated factor 65 gamma) (STAF65gamma) (Suppressor of Ty 7-like),SUPT7L KIAA0764,Homo sapiens (Human),414
NP_006187,Q15365,PCBP1_HUMAN,reviewed,Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3),PCBP1,Homo sapiens (Human),356
NP_006187,Q53SS8,Q53SS8_HUMAN,unreviewed,"Epididymis secretory protein Li 85 (Poly(RC) binding protein 1) (Putative uncharacterized protein PCBP1) (cDNA, FLJ94964, highly similar to Homo sapiens poly(rC) binding protein 1 (PCBP1), mRNA)",PCBP1 HEL-S-85 hCG_1776997,Homo sapiens (Human),356
NP_057417,Q9UQ35,SRRM2_HUMAN,reviewed,Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803),SRRM2 KIAA0324 SRL300 SRM300 HSPC075,Homo sapiens (Human),2752
NP_004765,Q15648,MED1_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A),MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2,Homo sapiens (Human),1581
NP_004086,Q13541,4EBP1_HUMAN,reviewed,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),EIF4EBP1,Homo sapiens (Human),118
NP_002087,P35269,T2FA_HUMAN,reviewed,General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74),GTF2F1 RAP74,Homo sapiens (Human),517
NP_005900,P46821,MAP1B_HUMAN,reviewed,Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1],MAP1B,Homo sapiens (Human),2468
NP_005900,Q6PJD3,Q6PJD3_HUMAN,unreviewed,MAP1B protein (Fragment),MAP1B,Homo sapiens (Human),693
NP_005900,Q86X89,Q86X89_HUMAN,unreviewed,MAP1B protein (Fragment),MAP1B,Homo sapiens (Human),685
NP_003128,B4DS61,B4DS61_HUMAN,unreviewed,"SFRS protein kinase 1, isoform CRA_f (SRSF protein kinase 1) (cDNA FLJ58405, highly similar to Serine/threonine-protein kinase SRPK1 (EC 2.7.11.1))",SRPK1 hCG_15775,Homo sapiens (Human),639
NP_003128,Q96SB4,SRPK1_HUMAN,reviewed,SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1),SRPK1,Homo sapiens (Human),655
NP_055647,O60343,TBCD4_HUMAN,reviewed,TBC1 domain family member 4 (Akt substrate of 160 kDa) (AS160),TBC1D4 AS160 KIAA0603,Homo sapiens (Human),1298
NP_065812,Q6DKI0,Q6DKI0_HUMAN,unreviewed,Raptor protein (Fragment),raptor,Homo sapiens (Human),130
NP_065812,Q8N122,RPTOR_HUMAN,reviewed,Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein),RPTOR KIAA1303 RAPTOR,Homo sapiens (Human),1335
NP_055625,Q5VT06,CE350_HUMAN,reviewed,Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa),CEP350 CAP350 KIAA0480 GM133,Homo sapiens (Human),3117
NP_004485,P51858,HDGF_HUMAN,reviewed,Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2),HDGF HMG1L2,Homo sapiens (Human),240
NP_003002,Q01105,SET_HUMAN,reviewed,Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I),SET,Homo sapiens (Human),290
NP_061852,A5D8Z4,A5D8Z4_HUMAN,unreviewed,WNK1 protein (Fragment),WNK1,Homo sapiens (Human),1537
NP_061852,Q9H4A3,WNK1_HUMAN,reviewed,Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1),WNK1 HSN2 KDP KIAA0344 PRKWNK1,Homo sapiens (Human),2382
NP_004332,P27708,PYR1_HUMAN,reviewed,CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)],CAD,Homo sapiens (Human),2225
NP_003015,Q15811,ITSN1_HUMAN,reviewed,Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17),ITSN1 ITSN SH3D1A,Homo sapiens (Human),1721
NP_003015,Q6PD56,Q6PD56_HUMAN,unreviewed,ITSN1 protein (Fragment),ITSN1,Homo sapiens (Human),634
NP_056417,Q5JTV8,TOIP1_HUMAN,reviewed,Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B),TOR1AIP1 LAP1,Homo sapiens (Human),583
NP_076418,Q96DT7,ZBT10_HUMAN,reviewed,Zinc finger and BTB domain-containing protein 10 (Zinc finger protein RIN ZF),ZBTB10 RINZF RINZFC,Homo sapiens (Human),871
NP_076418,Q9H9H3,Q9H9H3_HUMAN,unreviewed,"cDNA FLJ12752 fis, clone NT2RP2001174, weakly similar to GASTRULA ZINC FINGER PROTEIN XLCGF46.1",,Homo sapiens (Human),246
